global_id,semantic_label,client1,client2,client3,client4,client5,client6,number_of_clients
0,BENIGN,1,1,1,1,1,1,6
1,BACKDOOR,1,0,0,0,0,0,1
2,BACKDOOR_MALWARE,0,1,0,0,0,0,1
3,BOT,0,0,0,1,0,0,1
4,BROWSER_HIJACKING,0,1,0,0,0,0,1
5,COMMAND_INJECTION,0,1,0,0,0,0,1
6,DDOS,1,0,0,1,0,0,2
7,DDOS_ACK_FRAGMENTATION,0,1,0,0,0,1,2
8,DDOS_HTTP_FLOOD,0,1,0,0,0,1,2
9,DDOS_ICMP_FLOOD,0,1,0,0,1,1,3
10,DDOS_ICMP_FRAGMENTATION,0,1,0,0,0,1,2
11,DDOS_PSHACK_FLOOD,0,1,0,0,0,0,1
12,DDOS_RSTFIN_FLOOD,0,1,0,0,0,0,1
13,DDOS_SLOWLORIS,0,1,0,0,0,0,1
14,DDOS_SYNONYMOUS_IP_FLOOD,0,1,0,0,0,0,1
15,DDOS_SYN_FLOOD,0,1,0,0,0,0,1
16,DDOS_TCP_FLOOD,0,1,0,0,0,0,1
17,DDOS_UDP_FLOOD,0,1,0,0,1,0,2
18,DDOS_UDP_FRAGMENTATION,0,1,0,0,0,0,1
19,DICTIONARY_BRUTE_FORCE,0,1,0,0,0,1,2
20,DNS_SPOOFING,0,1,0,0,0,1,2
21,DOS,1,0,1,0,0,0,2
22,DOS_GOLDENEYE,0,0,0,1,0,0,1
23,DOS_HTTP_FLOOD,0,1,0,0,0,1,2
24,DOS_HULK,0,0,0,1,0,0,1
25,DOS_ICMP_FLOOD,0,0,0,0,1,0,1
26,DOS_SLOWHTTPTEST,0,0,0,1,0,0,1
27,DOS_SLOWLORIS,0,0,0,1,0,0,1
28,DOS_SYN_FLOOD,0,1,0,0,0,0,1
29,DOS_TCP_FLOOD,0,1,0,0,1,0,2
30,DOS_UDP_FLOOD,0,1,0,0,1,1,3
31,EXPLOITS,0,0,1,0,0,0,1
32,FTP_PATATOR,0,0,0,1,0,0,1
33,FUZZERS,0,0,1,0,0,0,1
34,GENERIC,0,0,1,0,0,0,1
35,HEARTBLEED,0,0,0,1,0,0,1
36,INJECTION,1,0,0,0,0,0,1
37,MIRAI_GREETH_FLOOD,0,1,0,0,0,1,2
38,MIRAI_GREIP_FLOOD,0,1,0,0,0,0,1
39,MIRAI_UDP_PLAIN,0,1,0,0,0,0,1
40,MITM,1,0,0,0,0,0,1
41,MITM_ARP_SPOOFING,0,1,0,0,1,1,3
42,MQTT_DDOS_PUBLISH_FLOOD,0,0,0,0,1,0,1
43,MQTT_DOS_CONNECT_FLOOD,0,0,0,0,1,0,1
44,MQTT_DOS_PUBLISH_FLOOD,0,0,0,0,1,0,1
45,MQTT_MALFORMED,0,0,0,0,1,0,1
46,PASSWORD,1,0,0,0,0,0,1
47,PORT_SCAN,0,0,0,1,0,0,1
48,RANSOMWARE,1,0,0,0,0,0,1
49,RECONNAISSANCE,0,0,1,0,0,0,1
50,RECON_HOST_DISCOVERY,0,1,0,0,0,0,1
51,RECON_OS_SCAN,0,1,0,0,1,0,2
52,RECON_PING_SWEEP,0,1,0,0,1,0,2
53,RECON_PORT_SCAN,0,1,0,0,1,0,2
54,SCANNING,1,0,0,0,0,0,1
55,SQL_INJECTION,0,1,0,1,0,1,3
56,SSH_PATATOR,0,0,0,1,0,0,1
57,UPLOADING_ATTACK,0,1,0,0,0,1,2
58,VULNERABILITY_SCAN,0,1,0,0,1,1,3
59,WEB_BRUTE_FORCE,0,0,0,1,0,0,1
60,XSS,1,1,0,1,0,1,4
