global_id,semantic_label,number_of_clients,is_shared,clients
0,BENIGN,6,True,"client1, client2, client3, client4, client5, client6"
60,XSS,4,True,"client1, client2, client4, client6"
9,DDOS_ICMP_FLOOD,3,True,"client2, client5, client6"
30,DOS_UDP_FLOOD,3,True,"client2, client5, client6"
41,MITM_ARP_SPOOFING,3,True,"client2, client5, client6"
55,SQL_INJECTION,3,True,"client2, client4, client6"
58,VULNERABILITY_SCAN,3,True,"client2, client5, client6"
6,DDOS,2,True,"client1, client4"
7,DDOS_ACK_FRAGMENTATION,2,True,"client2, client6"
8,DDOS_HTTP_FLOOD,2,True,"client2, client6"
10,DDOS_ICMP_FRAGMENTATION,2,True,"client2, client6"
17,DDOS_UDP_FLOOD,2,True,"client2, client5"
19,DICTIONARY_BRUTE_FORCE,2,True,"client2, client6"
20,DNS_SPOOFING,2,True,"client2, client6"
21,DOS,2,True,"client1, client3"
23,DOS_HTTP_FLOOD,2,True,"client2, client6"
29,DOS_TCP_FLOOD,2,True,"client2, client5"
37,MIRAI_GREETH_FLOOD,2,True,"client2, client6"
51,RECON_OS_SCAN,2,True,"client2, client5"
52,RECON_PING_SWEEP,2,True,"client2, client5"
53,RECON_PORT_SCAN,2,True,"client2, client5"
57,UPLOADING_ATTACK,2,True,"client2, client6"
